sync,phase,uploadRequests,uploadRequestsCumulative,uploadSeconds,storageBytes,restoreRequests,restoreBytes,restoreSeconds,restoreIndex,restoreData,restoreOther
315,backup,13,4095,1.183,1232041059,,,,,,
316,backup,13,4108,1.076,1235453609,,,,,,
317,backup,13,4121,1.085,1238832945,,,,,,
318,backup,13,4134,1.122,1243051053,,,,,,
319,backup,13,4147,1.147,1246317870,,,,,,
320,backup,13,4160,1.177,1252371427,,,,,,
321,backup,13,4173,1.117,1255778132,,,,,,
322,backup,13,4186,1.105,1259668087,,,,,,
323,backup,13,4199,1.118,1263068656,,,,,,
324,backup,13,4212,1.168,1266487903,,,,,,
325,backup,13,4225,1.192,1271659058,,,,,,
326,backup,13,4238,1.237,1279785669,,,,,,
327,backup,13,4251,1.135,1285009665,,,,,,
328,backup,13,4264,1.191,1290740556,,,,,,
329,backup,13,4277,1.193,1297253048,,,,,,
330,backup,13,4290,1.266,1305647400,,,,,,
331,backup,13,4303,1.143,1310965429,,,,,,
332,backup,13,4316,1.205,1316160964,,,,,,
333,backup,13,4329,1.151,1321153721,,,,,,
334,backup,13,4342,1.085,1324048903,,,,,,
335,backup,13,4355,1.132,1328549696,,,,,,
336,backup,13,4368,1.235,1336722418,,,,,,
337,backup,13,4381,1.104,1340409401,,,,,,
338,backup,13,4394,1.042,1343616522,,,,,,
339,backup,13,4407,1.137,1348347058,,,,,,
340,backup,13,4420,1.205,1354959776,,,,,,
341,backup,13,4433,1.203,1360751343,,,,,,
342,backup,13,4446,1.338,1367169548,,,,,,
343,backup,13,4459,1.096,1370354357,,,,,,
344,backup,13,4472,1.073,1373801591,,,,,,
345,backup,13,4485,1.041,1376814906,,,,,,
346,backup,13,4498,1.124,1381305223,,,,,,
347,backup,13,4511,1.026,1383673234,,,,,,
348,backup,13,4524,1.131,1389065095,,,,,,
349,backup,13,4537,1.145,1391625489,,,,,,
350,backup,13,4550,1.151,1396262618,,,,,,
351,backup,13,4563,1.924,1402160600,,,,,,
352,backup,13,4576,1.075,1404693694,,,,,,
353,backup,13,4589,1.185,1409162146,,,,,,
354,backup,13,4602,1.251,1416021764,,,,,,
355,backup,13,4615,1.159,1420017975,,,,,,
356,backup,13,4628,1.102,1423262159,,,,,,
357,backup,13,4641,1.184,1428046373,,,,,,
358,backup,13,4654,1.083,1430545632,,,,,,
359,backup,13,4667,1.114,1433645386,,,,,,
360,backup,13,4680,1.138,1437851868,,,,,,
361,backup,13,4693,1.2,1441477005,,,,,,
362,backup,13,4706,1.098,1443403536,,,,,,
363,backup,13,4719,1.092,1447261768,,,,,,
364,backup,13,4732,1.231,1451206187,,,,,,
365,backup,13,4745,1.113,1455329031,,,,,,
366,backup,13,4758,1.203,1460973989,,,,,,
367,backup,13,4771,1.161,1465576479,,,,,,
368,backup,13,4784,1.261,1474011246,,,,,,
369,backup,13,4797,1.1,1476906760,,,,,,
370,backup,13,4810,1.167,1481063748,,,,,,
371,backup,13,4823,1.093,1483931709,,,,,,
372,backup,13,4836,1.063,1486939203,,,,,,
373,backup,13,4849,1.122,1492066026,,,,,,
374,backup,13,4862,1.054,1494699528,,,,,,
375,backup,13,4875,1.295,1499161673,,,,,,
376,backup,13,4888,1.223,1503865303,,,,,,
377,backup,13,4901,1.269,1510289471,,,,,,
378,backup,13,4914,1.186,1514496172,,,,,,
379,backup,13,4927,1.113,1520312145,,,,,,
380,backup,13,4940,0.946,1522822371,,,,,,
381,backup,13,4953,1.057,1528056536,,,,,,
382,backup,13,4966,1.215,1536406722,,,,,,
383,backup,13,4979,1.196,1542383855,,,,,,
384,backup,13,4992,1.079,1544865144,,,,,,
385,backup,13,5005,1.281,1550110418,,,,,,
386,backup,13,5018,1.191,1554841605,,,,,,
387,backup,13,5031,1.041,1557750114,,,,,,
388,backup,13,5044,1.037,1561170263,,,,,,
389,backup,13,5057,1.085,1565527435,,,,,,
390,backup,13,5070,1.117,1571557285,,,,,,
391,backup,13,5083,1.135,1577862935,,,,,,
392,backup,13,5096,1.085,1583503246,,,,,,
393,backup,13,5109,1.064,1588377248,,,,,,
394,backup,13,5122,1.108,1592394043,,,,,,
395,backup,13,5135,1.16,1598960437,,,,,,
396,backup,13,5148,1.193,1603712357,,,,,,
397,backup,13,5161,1.177,1606980389,,,,,,
398,backup,13,5174,1.225,1612674354,,,,,,
399,backup,13,5187,1.113,1616511942,,,,,,
400,backup,13,5200,1.175,1621185403,,,,,,
401,backup,13,5213,1.113,1623971720,,,,,,
402,backup,13,5226,1.089,1627800161,,,,,,
403,backup,13,5239,1.132,1630735225,,,,,,
404,backup,13,5252,1.17,1634449267,,,,,,
405,backup,13,5265,1.24,1637345588,,,,,,
406,backup,13,5278,1.148,1640667220,,,,,,
407,backup,13,5291,1.275,1648775994,,,,,,
408,backup,13,5304,1.168,1652761739,,,,,,
